Passport Number,Name,DOB (YYYYMMDD),Contact
E4428006Z,Tan Yan Meng,19480708,96324545
K4096807E,Wong Yong Heng,20110101,98790098
E4501021Z,Lee Beng Beng,19450401,62845234
K5385050B,Liu Gu Feng,19530505,91776544
E5572364H,Sharon Mok,19650213,92927865
E6539436E,Raymond Low,19500809,98007655
E7004670I,Soh Yuan Tai,19700903,86542201
K9672820D,Gan Siao Buang,19961029,62543478
E5940462A,Cheng Wei Ren,20091231,97210234
E9511525Z,Jessica Ong,19950808,98772534
K0770957E,Alvin Chin,20070809,62594962
K9914489J,Charles Wong,19990809,96543322
E1234567G,Alice Oh,20000120,98989898
E2714897X,Henry Tan,19610215,97777777
E2323232Y,Joyce Seeton,20080405,62349000
K5324732Y,Mary Tham,20100708,87112345
K1234771H,Marvin Heng,19650213,89699090
